abstract,id,title,journal,year,author
"Epidermal growth factor receptor (EGFR)/RAS/MAPK signaling promotes cell growth and can drive tumorigenesis when overactive. Caenorhabditis elegans vulva development can model this pathway as signaling from the EGFR homolog LET-23 induces the vulval cell fate in vulva precursor cells (VPCs). The LIN-10 protein, along with LIN-2 and LIN-7, is essential for localization and activation of LET-23. In neurons, the RAB-6.2 GTPase and LIN-10 interact to mediate receptor trafficking. We expected RAB-6.2 to function similarly in the VPCs to promote EGFR signaling. However, we found that RAB-6.2 does not regulate LIN-10 localization in VPCs, and that rab-6.2 deletion suppresses the under-induced vulvaless phenotypes of lin-2(-) and lin-10(-) mutants, suggesting instead an antagonistic function in LET-23 signaling. In addition, rab-6.2(-) mutants show reduced expression from repetitive arrays, hinting at a role for RAB-6.2 in transgene silencing, a process regulated by small RNAs. VPS-52, a RAB-6.2 effector, promotes activity of the let-7 microRNA family, known to repress Ras in C. elegans and mammals. We hypothesize that RAB-6.2 supports the activity of the let-7 miRNA family, and through this negatively regulates EGFR/RAS/MAPK. We found that deletion of the let-7 family member mir-48 suppresses the vulvaless phenotype of lin-2(-) mutants, suggesting that mir-48 antagonizes LET-23-mediated vulva induction, in line with a RAB-6.2/let-7 family regulatory axis. Furthermore, rab-6.2(-) enhances the usually weak phenotypes of daf-19 and cel-1 RNAi, suggesting hypersensitivity to RNAi, which can result from increased availability of small RNA machinery in a background with reduced miRNA activity. Overall, our results pose RAB-6.2 as a negative regulator of LET-23-mediated vulva induction, and suggest that miRNA regulation may underlie this. Further genetic interaction tests and Ras reporters are needed to confirm miRNA regulation by RAB-6.2, and whether this underlies its antagonistic role in EGFR/Ras/MAPK signaling. These findings could expand our understanding of RAB GTPases and their role in growth signaling.",WBPaper00058219,"A novel role for the RAB-6.2 GTPase in regulating LET-23 EGFR-mediated vulva induction, possibly via microRNA regulation.",International Worm Meeting,2019,"Gagnon, S.|Gauthier, K.|Rocheleau, C.E."
"Centrioles are subcellular organelles composed of a ninefold symmetric microtubule array that perform two important functions: (1) They build centrosomes that organize the microtubule cytoskeleton, and (2) they template cilia, microtubule-based projections with sensory and motile functions. We identified HYLS-1, a widely conserved protein, based on its direct interaction with the core centriolar protein SAS-4. HYLS-1 localization to centrioles requires SAS-4 and, like SAS-4, HYLS-1 is stably incorporated into the outer centriole wall. Unlike SAS-4, HYLS-1 is dispensable for centriole assembly and centrosome function in cell division. Instead, HYLS-1 plays an essential role in cilia formation that is conserved between Caenorhabditis elegans and vertebrates. A single amino acid change in human HYLS1 leads to a perinatal lethal disorder termed hydrolethalus syndrome, and we show that this mutation impairs HYLS-1 function in ciliogenesis. HYLS-1 is required for the apical targeting/anchoring of centrioles at the plasma membrane but not for the intraflagellar transport-dependent extension of the ciliary axoneme. These findings classify hydrolethalus syndrome as a severe human ciliopathy and shed light on the dual functionality of centrioles, defining the first stably incorporated centriolar protein that is not required for centriole assembly but instead confers on centrioles the capacity to initiate ciliogenesis.",WBPaper00035062,The hydrolethalus syndrome protein HYLS-1 links core centriole structure to cilia formation.,Genes Dev,2009,Dammermann A|Pemble H|Mitchell BJ|McLeod I|Yates JR|Kintner C|Desai AB|Oegema K
"In Caenorhabditis elegans the Toll-interleukin receptor domain adaptor protein TIR-1 via a conserved mitogen-activated protein kinase (MAPK) signaling cascade induces innate immunity and upregulates serotonin (5-HT) biosynthesis gene tph-1 in a pair of ADF chemosensory neurons in response to infection. Here, we identify transcription factors downstream of the TIR-1 signaling pathway. We show that common transcription factors control the innate immunity and 5-HT biosynthesis. We demonstrate that a cysteine to tyrosine substitution in an ARM motif of the HEAT/Arm repeat region of the TIR-1 protein confers TIR-1 hyperactivation, leading to constitutive tph-1 upregulation in the ADF neurons, increased expression of intestinal antimicrobial genes, and enhanced resistance to killing by the human opportunistic pathogen Pseudomonas aeruginosa PA14. A forward genetic screen for suppressors of the hyperactive TIR-1 led to the identification of DAF-19, an ortholog of regulatory factor X (RFX) transcription factors that are required for human adaptive immunity. We show that DAF-19 concerts with ATF-7, a member of the activating transcription factor (ATF)/cAMP response element-binding B (CREB) family of transcription factors, to regulate tph-1 and antimicrobial genes, reminiscent of RFX-CREB interaction in human immune cells. daf-19 mutants display heightened susceptibility to killing by PA14. Remarkably, whereas the TIR-1-MAPK-DAF-19/ATF-7 pathway in the intestinal immunity is regulated by DKF-2/protein kinase D, we found that the regulation of tph-1 expression is independent of DKF-2 but requires UNC-43/Ca(2+)/calmodulin-dependent protein kinase (CaMK) II. Our results suggest that pathogenic cues trigger a common core-signaling pathway via tissue-specific mechanisms and demonstrate a novel role for RFX factors in neuronal and innate immune responses to infection.",WBPaper00042139,RFX transcription factor DAF-19 regulates 5-HT and innate immune responses to pathogenic bacteria in Caenorhabditis elegans.,PLoS Genet,2013,Xie Y|Moussaif M|Choi S|Xu L|Sze JY
"Cilia and flagella are structurally highly conserved cellular compartments with motile and/or sensory function. They can be found on many vertebrate cell types as well as on neurons and sperm cells in D. melanogaster and a subset of sensory neurons in C. elegans. In the worm these neurons function mainly in the perception of soluble and volatile compounds, but some of them may also be involved in mechanosensation. DAF-19, the sole RFX-type transcription factor in C. elegans, is strictly required for the formation of cilia. In daf-19 mutants no ciliated endings are formed, leading to a Dyf and strong Daf-c phenotype. daf-19 mutants are to date the only ones showing the extreme phenotype of a complete loss of cilia. All other mutations that affect cilium structure, including mutations in the direct DAF-19 targets osm-1, osm-5, osm-6, xbx-1, che-2 and che-13, result only in a partial truncation of cilia. The exceptional phenotype upon loss of daf-19 expression and the association of DAF-19 target genes with ciliogenesis suggest that DAF-19 governs the transcription of a basic pool of genes required to build a cilium. We speculate that DAF-19 acts very early in the hierarchy of events inducing ciliogenesis and might therefore be regarded as a determination gene for cilium formation. Moreover, expression analyses of several target genes suggest that DAF-19 regulates some of them in a cell type-specific manner and that additional cell type-specific co-regulators exist. To test these suggestions experimentally and to investigate the in vivo functions of DAF-19 in more detail, we are using several approaches. First, we are currently conducting in vivo misexpression studies. The introduction of DAF-19 into usually non-ciliated cells as well as de-regulated expression in sensory neurons should provide more information about the potential of this transcription factor as a determination gene for cilium formation. Furthermore we try to determine the time window during which a developing sensory neuron can become a ciliated neuron. Second, we are employing immunoprecipitation and protein sequencing to identify DAF-19 interacting partners that potentially function in such a regulatory process. Finally, a genetic screen aiming to isolate factors modulating DAF-19 function in a cell-specific way will complement this approach.",WBPaper00019340,The regulation of the RFX transcription factor DAF-19 during ciliogenesis,International Worm Meeting,2003,Gabriele GK Gahmon|Peter Swoboda
"Autosomal Dominant Polycystic Kidney Disease (ADPKD) is the most common genetic disorder that leads to End-Stage Renal Disease (1).  Mutations in the PKD1 and PKD2 genes account for 95% of all ADPKD cases.  The C. elegans pkd-2 homologue is regulated by DAF-19, an RFX-type transcription factor that binds promoter X-box sequences (imperfect inverted repeat GTHNYYATRRNAAC) (2,3).  It has been found that a tissue-specific isoform of daf-19 specifically regulates lov-1/PKD1, pkd-2, and cwp (coexpressed with polycystin) (4) gene expression without affecting ciliogenesis (see abstract by Wang and Barr).  However, the lack of an X-box in the ADPKD and cwp genes suggests the existence of a transcription factor (or factors) that acts downstream of DAF-19.

To identify direct transcriptional regulators of pkd-2, we used the yeast one-hybrid system with the pkd-2 promoter as bait to screen a mini-TF C. elegans library (5) and a male-enriched cDNA library (6).  Several PBP (pkd-2 promoter binding protein) candidates have been identified.  PBP-1 is a transcription factor with an X-box in its promoter that is conserved between C. elegans and C. briggsae, indicating PBP-1 may be a direct target of DAF-19.  Furthermore, we have identified a potential binding site for this candidate in the pkd-2 promoter; this motif is necessary for pkd-2 expression.
Interestingly, pbp-1 encodes a product with similarity to a human centromere protein required for the mitotic transition from metaphase to anaphase.  This indicates a possible function of pbp-1 in the temporal regulation of pkd-2 and other ADPKD genes in C. elegans.  We will characterize the pbp-1 gene and subsequently evaluate the remaining candidates for further regulatory roles.",WBPaper00028192,Identifying Transcriptional Regulators of ADPKD Genes in C. elegans.,"Neuronal Development, Synaptic Function, and Behavior Meeting",2006,Joseph Wolfe|Juan Wang|Maureen Barr
"Sensory organs are often composed of neuronal sensory endings accommodated in a lumen formed by ensheathing epithelia or glia. Here we show that lumen formation in the C. elegans amphid sensory organ requires the gene daf-6. daf-6 encodes a Patched-related protein that localizes to the luminal surfaces of the amphid channel and other C. elegans tubes. While daf-6 mutants display only amphid lumen defects, animals defective for both daf-6 and the Dispatched gene che-14 exhibit defects in all tubular structures that express daf-6. Furthermore, DAF-6 protein is mislocalized, and lumen morphogenesis is abnormal, in mutants with defective sensory neuron endings. We propose that amphid lumen morphogenesis is coordinated by neuron-derived cues and a DAF-6/CHE-14 system that regulates vesicle dynamics during tubulogenesis.",WBPaper00025237,C. elegans daf-6 encodes a patched-related protein required for lumen formation.,Dev Cell,2005,Perens EA|Shaham S
"Transcription factors (TFs) play a central role in controlling spatiotemporal gene expression and the response to environmental cues. A comprehensive understanding of gene regulation requires integrating physical protein-DNA interactions (PDIs) with TF regulatory activity, expression patterns, and phenotypic data. Although great progress has been made in mapping PDIs using chromatin immunoprecipitation, these studies have only characterized ~10% of TFs in any metazoan species. The nematode C.elegans has been widely used to study gene regulation due to its compact genome with short regulatory sequences. Here, we delineated the largest gene-centered metazoan PDI network to date by examining interactions between 90% of C. elegans TFs and 15% of gene promoters. We used this network as a backbone to predict TF binding sites for 77 TFs, two-thirds of which are novel, as well as integrate gene expression, protein-protein interaction, and phenotypic data to predict regulatory and biological functions for multiple genes and TFs.",WBPaper00050371,A gene-centered C.elegans protein-DNA interaction network provides a framework for functional predictions.,Mol Syst Biol,2016,Fuxman Bass JI|Pons C|Kozlowski L|Reece-Hoyes JS|Shrestha S|Holdorf AD|Mori A|Myers CL|Walhout AJ
"A chemically defined axenic medium, C. elegans maintenance medium (CeMM), has been established for culturing of C. elegans (Lu & Goetsch, 1993). Worms grown on CeMM plates take longer to develop and exhibit a prolonged reproductive period with a decreased brood size (Szewczyk et al., 2006). For N2 animals, about 10% of them develop into adults at day 8 after hatching, whereas the others develop into adults within the following 10 days. Compared to the lab-bred N2 strain, CB4856, a wild Hawaiian strain, takes greater than 16 days to reach adults. We are interested in determining genetic and molecular basis of developmental evolution that promotes animal cells to adapt to alternative nutritional environments. By screening known mutants which are possibly involved in feeding and growth, we observed that hermaphrodites contain mutations in fat-3, lev-11, ser-7, tph-1 and unc-73 grow much faster than N2 worms in CeMM (30-80% mutants reach adults between 5 and 7 days), while daf-2, daf-19, che-2, mdt-15, osm-9, unc-26, unc-32 and unc-42 mutants grow much slower or developmentally arrest in L1 (the majority could not develop into adults by two weeks). Through screening for EMS generated N2 mutant hermaphrodites that grow faster in CeMM, we identified the rg1402, rg1003 and rg804 alleles, which cause 90%, 90% and 75% of the worms to develop into adults on the synthetic medium by day 5, respectively. In addition, we have screened another 10 alleles which could develop to adults between day 5 and 6. Two alleles which cause the worms develop into adults at day 4 were identified through EMS mutagenesis of rg1003. We will serially select and then EMS-mutate hermaphrodites to gradually breed lines that become more adapted and fit for growth in CeMM. Outcrossing experiments demonstrated that enhanced adaptation to CeMM caused by rg1402, rg1003 and rg804 are inherited as a single-locus recessive trait. We are using classical mapping together with whole genome sequence of rg1003 to determine the molecular identity of the recessive allele. The characterization of the fast growth mutants in CeMM will greatly facilitate to systematically analyze the profound impact of nutrition on animal physiology, energy homeostasis and metabolism diseases. Lu N.C. & Goetsch K.M., 1993. Carbohydrate requirement of Caenorhabditis elegans and the final development of a chemically defined medium. Nematologica 39:303-311. Szewczyk N.J. et al., 2006. Delayed development and lifespan extension as features of metabolic lifestyle alteration in C. elegans under dietary restriction. J Exp Biol 209:4129-4139.",WBPaper00039558,A recessive gene controls adaptation to a chemically defined medium in C. elegans.,International Worm Meeting,2011,"Zhang, Liusuo|Garcia, L. Rene"
"The relationship between oxidative stress and longevity is a matter of concern in various organisms. We isolated mutants resistant to paraquat from nematode Caenorhabditis elegans. One mutant named mev-4 was long-lived and showed cross-resistance to heat and Dyf phenotype (defective in dye filling). Genetic and sequence analysis revealed that mev-4 had a nonsense mutation on the che-11 gene, homologues of which are involved in formation of cilia and flagella in other organisms. The paraquat resistance was commonly observed in various Dyf mutants and did not depend on the daf-16 gene, whereas the extension of life span did depend on it. Expression of antioxidant enzyme genes seemed normal. These results suggest that chemosensory neurons are a target of oxidative stress and influence longevity dependent on the daf-16 signaling in C. elegans.",WBPaper00006516,Mutations in chemosensory cilia cause resistance to paraquat in nematode Caenorhabditis elegans.,J Biol Chem,2004,Fujii M|Matsumoto Y|Tanaka N|Miki K|Suzuki T|Ishii N|Ayusawa D
"Mutations affecting dauer larva formation result in one of two phenotypes: dauer defective (Daf-d) or dauer constitutive (Daf-c). Daf-d mutants do not form dauers under dauer-inducing conditions, whereas Daf-c mutants form dauers under non-inducing conditions. Ciliated sensory neurons in the amphids mediate the response to these environmental conditions. Mutations that affect the morphology of these ciliated sensory endings are usually Daf-d. daf-19 mutants are the exception: they completely lack ciliated endings and are Daf-c. All three alleles of daf-19 (m86, sa190, sa232) are strongly Daf-c: ca. 70% or more dauer larvae at 15C, ca. 95% or more at 25C (dauer formation is an inherently temperature sensitive process). The unusual combination of phenotypes could be due to a cell fate specification defect during amphid neuron development. Killing the amphid neurons ADF, ASI and ASG causes a Daf-c phenotype, suggesting that impaired development of amphid neurons can trigger dauer formation. By analysis of daf-d; daf-19 double mutants, we have positioned daf-19 in the formal genetic pathway for dauer formation. daf-19 lies downstream of genes in the two parallel branches of this pathway and upstream of the Daf-d gene daf-12. The genes in the parallel branches are thought to be important for sensory response leading to dauer formation, whereas the genes downsteam and including daf-12 are thought to be important for the reception of amphid neuronal signals by target tissues and for the activation of dauer larva morphogenesis. A possible interpretation of daf-19 epistasis is that daf-19 affects development of the amphid neurons. Germline transformation rescue experiments demonstrated that two overlapping cosmid clones, ZK945 and F27E5, individually rescue daf-19 phenotypes. Subsequent rescue by various subclones from the 9 kbp overlap region revealed that daf-19 is the same as the gene F27E5.5 (predicted by the C. elegans genome project). Database searches and comparisons showed that this gene encodes a novel protein with putative transmembrane domains as well as weak similarities to human melanocortin peptide hormone receptors. Melanocortins have diverse functions and are implicated in nerve cell growth during development and regeneration after damage. Taken together the results suggest that daf-19 might encode a protein involved in cell specification or morphogenesis of amphid sensory neurons. Mutations in the daf-19 gene may thus interfere with the normal dauer formation signalling by causing misspecification of these cells.",WBPaper00011721,daf-19 controls sensory neuron development in C. elegans,European Worm Meeting,1996,Swoboda P|Hankins EG|Adler HT|Thomas JH
"In animals, RFX transcription factors govern ciliogenesis by binding to an X-box motif in the promoters of ciliogenic genes. In Caenorhabditis elegans, the sole RFX transcription factor (TF) daf-19 null mutant lacks all sensory cilia, fails to express many ciliogenic genes, and is defective in many sensory behaviors, including male mating. The daf-19c isoform is expressed in all ciliated sensory neurons and is necessary and sufficient for activating X-box containing ciliogenesis genes. Here, we describe the daf-19(n4132) mutant that is defective in expression of the sensory polycystic kidney disease (PKD) gene battery and male mating behavior, without affecting expression of ciliogenic genes or ciliogenesis. daf-19(n4132) disrupts expression of a new isoform, daf-19m (for function in male mating). daf-19m is expressed in male-specific PKD and core IL2 neurons via internal promoters and remote enhancer elements located in introns of the daf-19 genomic locus. daf-19m genetically programs the sensory functions of a subset of ciliated neurons, independent of daf-19c. In the male-specific HOB neuron, DAF-19(M) acts downstream of the zinc finger TF EGL-46, indicating that a TF cascade controls the PKD gene battery in this cell-type specific context. We conclude that the RFX TF DAF-19 regulates ciliogenesis via X-box containing ciliogenic genes and controls ciliary specialization by regulating non-X-box containing sensory genes. This study reveals a more extensive role for RFX TFs in generating fully functional cilia.",WBPaper00037652,Functional specialization of sensory cilia by an RFX transcription factor isoform.,Genetics,2010,Wang J|Schwartz HT|Barr MM
"Cilia are an important cellular differentiation of sensory neurons for receiving information from the environment. For example in C. elegans, ciliated sensory neurons in the amphid sensilla mediate responses to environmental conditions. Mutations that affect the morphology of ciliated endings of these sensory neurons usually cause diverse phenotypes such as defective chemo- and mechanosensation. They also affect the decision of whether or not to form a dauer (diapause) larva. These mutations identify genes required for proper neuronal differentiation and cilia formation. daf-19 mutants (daf = dauer formation affected) completely lack sensory cilia. This was shown by electron microscopy (serial sections through the head of the worm) and by analysis of transgenic animals expressing GFP in the amphid neuron ASE in daf-19 mutants. Aside from the absence of cilia, the neurons seemed to be morphologically normal. The amphid neuron AFD (which has only a rudimentary cilium) was apparently normal in daf-19 mutants. We cloned daf-19. It encodes an RFX-type transcription factor. So far this class of proteins has been found in humans, mice and yeast. From work with mammalian cell cultures the RFX-binding sites (X-boxes) for some members of the family are known. By searching the C. elegans genome database we found DNA-sequences that fit the X-box consensus in the promoter regions of genes known to be expressed or to function in ciliated sensory neurons. As a first step toward testing whether daf-19 transcriptionally regulates these genes in vivo we fused three different promoters to GFP (che-2, osm-1, osm-6; containing either wild-type or mutated X-box sequences, respectively). In the wild-type situation all three promoters drove GFP expression in ciliated sensory neurons in the head and in the tail of the animal. When the X-box sequences were mutated in all three promoters, GFP expression was drastically curtailed or absent in all of these neurons. So far our results strongly suggest that DAF-19 controls the transcription of a battery of genes whose products form the sensory cilium or function therein.",WBPaper00011836,daf-19 REGULATES THE FORMATION OF CILIATED ENDINGS OF SENSORY NEURONS IN C. ELEGANS,European Worm Meeting,1998,Swoboda P|Hankins EG|Adler HT|Thomas JH
"Caenorhabditis elegans polycystins LOV-1 and PKD-2 are expressed in the male-specific HOB neuron, and are necessary for sensation of the hermaphrodite vulva during mating. We demonstrate that male vulva location behavior and expression of lov-1 and pkd-2 in the ciliated sensory neuron HOB require the activities of transcription factor EGL-46 and to some extent also EGL-44. This EGL-46-regulated program is specific to HOB and is distinct from a general ciliogenic pathway functioning in all ciliated neurons. The ciliogenic pathway regulator DAF-19 affects downstream components of the HOB-specific program indirectly and is independent of EGL-46 activity. The sensory function of HOB requires the combined action of these two distinct regulatory pathways.",WBPaper00006247,Distinct roles of transcription factors EGL-46 and DAF-19 in specifying the functionality of a polycystin-expressing sensory neuron necessary for C. elegans male vulva location behavior.,Development,2003,Yu H|Pretot RF|Burglin TR|Sternberg PW
"Mutations affecting dauer larva formation result in one of two phenotypes: dauer defective (Daf-d) or dauer constitutive (Daf-c). Daf-d mutants do not form dauers under dauer-inducing conditions, whereas Daf-c mutants form dauers under non-inducing conditions. Ciliated sensory neurons in the amphids mediate the response to these environmental conditions. Mutations that affect the morphology of these ciliated sensory endings are usually Daf-d. daf-19 mutants are the exception: they completely lack ciliated endings and are strongly Daf-c. Analysis of daf-d ; daf-19 double mutants indicates that daf-19 is epistatic to Daf-d mutations in both parallel branches of the genetic pathway for dauer formation and lies upstream of the Daf-d gene daf-12. The genes in the parallel branches are thought to be important for sensory response leading to dauer formation, whereas daf-12 and downstream genes are thought to be important for later steps leading to dauer larva morphogenesis. Electron microscopy and analysis of transgenic animals expressing GFP in the amphid neuron ASE revealed that daf-19 (m86) mutants lack the entire ciliated ending. The remainder of the amphid neuron appeared normal. In the amphid neuron AFD the fingers (they are not ciliated endings) seemed to be wild-type in a daf-19 background. Taken together, these results suggest that daf-19 is involved in cell specification or morphogenesis of amphid sensory neurons or their ciliated endings. Mutations in daf-19 may thus interfere with the normal dauer formation signalling by causing misspecification of these neurons. Progress on cloning daf-19 will be reported.",WBPaper00022742,daf-19 CONTROLS SENSORY NEURON SPECIFICATION,International C. elegans Meeting,1997,Swoboda P|Hankins EG|Adler HT|Thomas JH
"RFX transcription factors play an evolutionarily conserved role in ciliogenesis. In Caenorhabditis elegans, DAF-19 is the sole RFX transcription factor that regulates cilia development via activation of ciliogenic genes containing X-box promoter elements (Swoboda et al 2000). Here we identify a novel isoform of daf-19, daf-19, (for its function in mating behavior) that is essential for male-specific sensory gene expression, thereby patterning several aspects of adult male sexual behaviors. The ciliogenic isoforms of daf-19 are expressed in the core and male-specific ciliated nervous system, comprised of 60 and 48 cells, respectively. In contrast, daf-19 is expressed in only 6 core and 21 male-specific ciliated sensory B-type neurons. The latter express the ADPKD gene battery, which do not have X-box containing promoters and include lov-1/PKD1, pkd-2, the kinesin-3 klp-6, and the co-expressed with polycystin (cwp) genes. The former, the IL2s, also express klp-6 and a subset of the cwps, and are the few remaining C. elegans neurons of unknown function. daf-19 is essential for ADPKD gene expression and sensory function in the adult male, without affecting ciliogenesis. A secondary promoter and a distal upstream enhancer coordinate daf-19 sensory-specification functions in tail HOB and RnB neurons and head CEM and IL2 neurons, respectively. Multiple isoforms of daf-19 allow this master regulator of ciliogenesis to be reinvented in the adult, enabling a single RFX transcription factor to maintain ciliary homeostasis from embryogenesis throughout adulthood.",WBPaper00032694,Transcriptional Control and Patterning of Adult Sexual Behaviors,C.elegans Neuronal Development Meeting,2008,Juan Wang|Maureen Barr
"Cilia are complex organelles involved in sensory perception and motility with intraflagellar transport (IFT) proteins being essential for cilia assembly and function, but little is known about cilia in an evo-devo context. For example, recent comparisons revealed conservation and divergence of IFT components in the regulation of social feeding behaviors between the nematodes Caenorhabditis elegans and Pristionchus pacificus. Here, we focus on the P. pacificus RFX transcription factor daf-19, the master regulator of ciliogenesis in C. elegans. Two CRISPR/Cas9-induced Ppa-daf-19 mutants lack ciliary structures in amphid neurons and display chemosensory defects. In contrast to IFT mutants, Ppa-daf-19 mutants do not exhibit social behavior. However, they show weak locomotive responses to shifts in oxygen concentration, suggesting partial impairment in sensing or responding to oxygen. To identify targets of Ppa-daf-19 regulation we compared the transcriptomes of Ppa-daf-19 and wild-type animals and performed a bioinformatic search for the X-box RFX binding-site across the genome. The regulatory network of Ppa-DAF-19 involves IFT genes but also many taxonomically restricted genes. We identified a conserved X-box motif as the putative binding site, which was validated for the Ppa-dyf-1 gene. Thus, Ppa-DAF-19 controls ciliogenesis, influences oxygen-induced behaviors and displays a high turnover of its regulatory network.",WBPaper00055311,DAF-19/RFX controls ciliogenesis and influences oxygen-induced social behaviors in Pristionchus pacificus.,Evol Dev,2018,Moreno E|Lenuzzi M|ROdelsperger C|Prabh N|Witte H|Roeseler W|Riebesell M|Sommer RJ
"OrthoList, a compendium of <i>Caenorhabditis</i><i>elegans</i> genes with human orthologs compiled in 2011 by a meta-analysis of four orthology-prediction methods, has been a popular tool for identifying conserved genes for research into biological and disease mechanisms. However, the efficacy of orthology prediction depends on the accuracy of gene model predictions, an ongoing process, and orthology-prediction algorithms have also been updated over time. Here we present OrthoList 2 (OL2), a new comparative genomic analysis between <i>C. elegans</i> and humans, and the first assessment of how changes over time affect the landscape of predicted orthologs between two species. Although we find that updates to the orthology-prediction methods significantly changed the landscape of <i>C. elegans-</i>human orthologs predicted by individual programs, and, unexpectedly, reduced agreement amongst them, we also show that our meta-analysis approach &quot;buffered&quot; against changes in gene content. We show that adding results from more programs did not lead to many additions to the list, and discuss reasons to avoid assigning &quot;scores&quot; based on support by individual orthology prediction programs, the treatment of &quot;legacy&quot; genes no longer predicted by these programs, and the practical difficulties of updating due to encountering deprecated, changed, or retired gene IDs. In addition, we consider what other criteria may support claims of orthology, and alternative approaches to find potential orthologs that elude identification by these programs. Finally, we created a new web-based tool that allows for rapid searches of OL2 by gene identifiers, protein domains (InterPro and SMART), or human-disease associations (OMIM), and also includes available RNAi resources to facilitate potential translational cross-species studies.",WBPaper00055090,OrthoList 2: A New Comparative Genomic Analysis of Human and <i>Caenorhabditis</i><i>elegans</i> Genes.,Genetics,2018,Kim W|Underwood RS|Greenwald I|Shaye DD
"Caenorhabditis elegans, a small free-living soil nematode, is an ideal organism for the genetic dissection of simple behaviors. Over 150 genes required for normal behavior have been identified. We review here the neural and genetic pathways underlying four of the best-studied C. elegans behaviors: locomotion, response to gentle touch, egg-laying, and chemotaxis. Mutations affecting these behaviors have identified genes which specify neuronal cell lineage, neuronal cell fate, and the formation of cell matrix cues involved in axonal guidance. Molecular analysis of genes required for normal behavior offers the prospect of characterizing functionally important nervous system proteins, regardless of their abundance or biochemical role.",WBPaper00001296,The behavioral genetics of Caenorhabditis elegans.,Behav Genet,1990,Wolinsky EJ|Way JC
"Mutations interfering with dauer larva formation can be subdivided into two classes: dauer defective (Daf-d) and dauer constitutive (Daf-c). Daf-d animals do not form dauers under dauer-inducing conditions, whereas Daf-c animals form dauers under non-inducing conditions. Ciliated sensory neurons in the amphids have been shown to be involved in the response to these environmental conditions. Mutant animals with morphological defects in these ciliated sensory endings are usually Daf-d. The exception to this rule is daf-19. daf-19 mutant animals completely lack ciliated endings and are Daf-c. We hypothesize that these unusual phenotypes are due to a cell fate specification defect during amphid neuron development. As shown by the fact that killing the amphid neurons ADF, ASI and ASG causes a Daf-c phenotype, impaired development of neurons may trigger responding cells to execute the dauer formation program inappropriately. The existance of three alleles (m86, sa190, sa232) shows that these unusual phenotypes of daf-19 are due to mutations in one gene. We are studying the defects caused by mutations of daf-19 using two approaches. (i) Preliminary genetic analyses suggest that daf-19 is epistatic to all Daf-d genes except for daf-12. This might suggest a fundamental role of the daf-19 gene product in neuronal cells important for dauer formation. (ii) The position of the daf-19 gene on the genetic and physical maps has been determined. Germline transformation experiments identified overlapping cosmids that rescued the daf-19 mutant phenotypes. These data are in the process of being confirmed and extended in order to clone daf-19.",WBPaper00022085,DO daf-19 MUTATIONS CAUSE DEFECTS IN AMPHID NEURON SPECIFICATION?,International C. elegans Meeting,1995,Swoboda P|Hankins EG|Adler HT|Thomas JH
"Amphid neurons can access the outside environment by extending cilia through a lumen formed by sheath and socket glia. Lumen formation in the amphid requires daf-6, which encodes a Patched-related protein. DAF-6 protein localizes to vesicles and to luminal surfaces in the amphid sheath and socket glia, as well as in other tubes in the worm. The luminal localization of DAF-6 suggested that neuronal cilia in the amphid lumen might regulate DAF-6 localization or function. To test this idea, we examined the amphid lumens of mutants with defective cilia. We observed several defects. First, as in daf-6 mutants, daf-19 mutants, which lack cilia, accumulated vacuoles in the sheath glia. Second, DAF-6::GFP in the amphid localized only to a punctate structure in the cilia defective mutants che-3, che-11, che-13, daf-10, daf-19, and osm-6. Finally, while previous EM analysis revealed no gross channel defects in these mutants (Perkins et al., 1986), our EM analysis of daf-19 animals did reveal defects: the sheath channel lumen was irregular in shape, with branching outpockets, and the distance from the anterior end of the dendrite to the anterior end of the sheath glia lumen was reduced. Thus, altered DAF-6 localization in cilia-defective mutants may lead to channel alterations. To define regions important for DAF-6 function and subcellular localization, we generated mutant versions of a DAF-6::GFP rescuing protein. Patched proteins share sequence features with some prokaryotic permeases. Mutating the conserved permease motif did not eliminate function or alter localization, suggesting that DAF-6 is not likely to function as a permease. DAF-6 also contains a conserved five-transmembrane sterol-sensing domain (SSD) suggested to regulate protein localization. Function and localization, however, were largely unaffected in SSD mutant DAF-6 proteins. Also, the DAF-6 SSD alone was not sufficient to confer appropriate DAF-6 function or subcellular localization. Finally, DAF-6 has two predicted extracellular loops. Deletion of the second extracellular loop abolished both DAF-6 function and localization. Function was also abolished by a missense mutation in the first loop; surprisingly, however, subcellular localization of DAF-6::GFP was not disrupted by this mutation, suggesting that proper DAF-6 localization is not sufficient for DAF-6 function, and that DAF-6 activity may be regulated by interaction with other proteins making contact with the first extracellular loop. One possible model consistent with our results is that DAF-6 responds to a neuronally generated signal to coordinate tube morphogenesis.",WBPaper00026184,Communication between neuronal cilia and sheath glia may regulate channel dimensions in the C. elegans amphid,International Worm Meeting,2005,Elliot A Perens|Shai Shaham
