pmid,id,journal,year,title,author,abstract
24068966,WBPaper00044247,PLoS Genet,2013,PAQR-2 regulates fatty acid desaturation during cold adaptation in C. elegans.,Svensk E|Stahlman M|Andersson CH|Johansson M|Boren J|Pilon M,"C. elegans PAQR-2 is homologous to the insulin-sensitizing adiponectin receptors in mammals, and essential for adaptation to growth at 15C, a low but usually acceptable temperature for this organism. By screening for novel paqr-2 suppressors, we identified mutations in genes involved in phosphatidylcholine synthesis (cept-1, pcyt-1 and sams-1) and fatty acid metabolism (ech-7, hacd-1, mdt-15, nhr-49 and sbp-1). We then show genetic evidence that paqr-2, phosphatidylcholines, sbp-1 and 9-desaturases form a cold adaptation pathway that regulates the increase in unsaturated fatty acids necessary to retain membrane fluidity at low temperatures. This model is supported by the observations that the paqr-2 suppressors normalize the levels of saturated fatty acids, and that low concentrations of detergents that increase membrane fluidity can rescue the paqr-2 mutant."
27261001,WBPaper00049625,G3 (Bethesda),2016,A Genetic Screen for Mutants with Supersized Lipid Droplets in Caenorhabditis elegans.,Li S|Xu S|Ma Y|Wu S|Feng Y|Cui Q|Chen L|Zhou S|Kong Y|Zhang X|Yu J|Wu M|Zhang SO,"To identify genes that regulate the dynamics of lipid droplet (LD) size, we have used the genetically tractable model organism Caenorhabditis elegans, whose wild-type LD population displays a steady state of size with an upper limit of 3 m in diameter. From a saturated forward genetic screen of 6.7 x 10(5) mutagenized haploid genomes, we isolated 118 mutants with supersized intestinal LDs often reaching 10 m. These mutants define nine novel complementation groups, in addition to four known genes (maoc-1, dhs-28, daf-22 &amp; prx-10). The nine groups are named drop (lipid droplet abnormal) and categorized into four classes. Class I mutants drop-5 &amp; drop-9, similar to prx-10, are up-regulated in ACS-22-DGAT-2-dependent LD growth, resistant to LD hydrolysis, and defective in peroxisome import. Class II mutants drop-2, drop-3, drop-6 &amp; drop-7, are up-regulated in LD growth, resistant to LD hydrolysis, but not defective in peroxisome import. Class III mutants drop-1 &amp; drop-8 are neither up-regulated in LD growth nor resistant to LD hydrolysis, but seemingly up-regulated in LD fusion. Class IV mutant drop-4 is cloned as sams-1 and, different to the other three classes, is ACS-22-independent and hydrolysis-resistant. These four classes of supersized LD mutants should be valuable for mechanistic studies of LD cellular processes including growth, hydrolysis, and fusion."
16103914,WBPaper00026715,PLoS Genet,2005,"New genes tied to endocrine, metabolic, and dietary regulation of lifespan from a Caenorhabditis elegans genomic RNAi screen.",Hansen M|Hsu AL|Dillin A|Kenyon C,"Most of our knowledge about the regulation of aging comes from mutants originally isolated for other phenotypes. To ask whether our current view of aging has been affected by selection bias, and to deepen our understanding of known longevity pathways, we screened a genomic Caenorhabditis elegans RNAi library for clones that extend lifespan. We identified 23 new longevity genes affecting signal transduction, the stress response, gene expression, and metabolism and assigned these genes to specific longevity pathways. Our most important findings are (i) that dietary restriction extends C. elegans' lifespan by down-regulating expression of key genes, including a gene required for methylation of many macromolecules, (ii) that integrin signaling is likely to play a general, evolutionarily conserved role in lifespan regulation, and (iii) that specific lipophilic hormones may influence lifespan in a DAF-16/FOXO-dependent fashion. Surprisingly, of the new genes that have conserved sequence domains, only one could not be associated with a known longevity pathway. Thus, our current view of the genetics of aging has probably not been distorted substantially by selection bias."
18331616,WBPaper00031586,Aging Cell,2008,Dietary restriction suppresses proteotoxicity and enhances longevity by an hsf-1-dependent mechanism in Caenorhabditis elegans.,Steinkraus KA|Smith ED|Davis C|Carr D|Pendergrass WR|Sutphin GL|Kennedy BK|Kaeberlein M,"Dietary restriction increases life span and slows the onset of age-associated disease in organisms from yeast to mammals. In humans, several age-related diseases are associated with aberrant protein folding or aggregation, including neurodegenerative disorders such as Alzheimer''s, Parkinson''s, and Huntington''s diseases. We report here that dietary restriction dramatically suppresses age-associated paralysis in three nematode models of proteotoxicity. Similar to its longevity-enhancing properties, dietary restriction protects against proteotoxicity by a mechanism distinct from reduced insulin/IGF-1-like signaling. Instead, the heat shock transcription factor, hsf-1, is required for enhanced thermotolerance, suppression of proteotoxicity, and life span extension by dietary restriction. These findings demonstrate that dietary restriction confers a general protective effect against proteotoxicity and promotes longevity by a mechanism involving hsf-1."
36756948,WBPaper00065005,Elife,2023,S-adenosylmethionine synthases specify distinct H3K4me3 populations and gene expression patterns during heat stress.,Godbole AA|Gopalan S|Nguyen TK|Munden AL|Lui DS|Fanelli MG|Vo P|Lewis CA|Spinelli JB|Fazzio TG|Walker AK,"Methylation is a widely occurring modification that requires the methyl donor S-adenosylmethionine (SAM) and acts in regulation of gene expression and other processes. SAM is synthesized from methionine, which is imported or generated through the 1-carbon cycle (1CC). Alterations in 1CC function have clear effects on lifespan and stress responses, but the wide distribution of this modification has made identification of specific mechanistic links difficult. Exploiting a dynamic stress-induced transcription model, we find that two SAM synthases in Caenorhabditis elegans, SAMS-1 and SAMS-4, contribute differently to modification of H3K4me3, gene expression and survival. We find that sams-4 enhances H3K4me3 in heat shocked animals lacking sams-1, however, sams-1 cannot compensate for sams-4, which is required to survive heat stress. This suggests that the regulatory functions of SAM depend on its enzymatic source and that provisioning of SAM may be an important regulatory step linking 1CC function to phenotypes in aging and stress."
30845140,WBPaper00056330,PLoS Genet,2019,Glycine promotes longevity in Caenorhabditis elegans in a methionine cycle-dependent fashion.,Liu YJ|Janssens GE|McIntyre RL|Molenaars M|Kamble R|Gao AW|Jongejan A|Weeghel MV|MacInnes AW|Houtkooper RH,"The deregulation of metabolism is a hallmark of aging. As such, changes in the expression of metabolic genes and the profiles of amino acid levels are features associated with aging animals. We previously reported that the levels of most amino acids decline with age in Caenorhabditis elegans (C. elegans). Glycine, in contrast, substantially accumulates in aging C. elegans. In this study we show that this is coupled to a decrease in gene expression of enzymes important for glycine catabolism. We further show that supplementation of glycine significantly prolongs C. elegans lifespan, and early adulthood is important for its salutary effects. Moreover, supplementation of glycine ameliorates specific transcriptional changes that are associated with aging. Glycine feeds into the methionine cycle. We find that mutations in components of this cycle, methionine synthase (metr-1) and S-adenosylmethionine synthetase (sams-1), completely abrogate glycine-induced lifespan extension. Strikingly, the beneficial effects of glycine supplementation are conserved when we supplement with serine, which also feeds into the methionine cycle. RNA-sequencing reveals a similar transcriptional landscape in serine- and glycine-supplemented worms both demarked by widespread gene repression. Taken together, these data uncover a novel role of glycine in the deceleration of aging through its function in the methionine cycle."
28108330,WBPaper00055053,Exp Gerontol,2017,Pleiotropic responses to methionine restriction.,Ables GP|Johnson JE,"Methionine restriction (MR) extends lifespan across different species. The main responses of rodent models to MR are well-documented in adipose tissue (AT) and liver, which have reduced mass and improved insulin sensitivity, respectively. Recently, molecular mechanisms that improve healthspan have been identified in both organs during MR. In fat, MR induced a futile lipid cycle concomitant with beige AT accumulation, producing elevated energy expenditure. In liver, MR upregulated fibroblast growth factor 21 and improved glucose metabolism in aged mice and in response to a high-fat diet. Furthermore, MR also reduces mitochondrial oxidative stress in various organs such as liver, heart, kidneys, and brain. Other effects of MR have also been reported in such areas as cardiac function in response to hyperhomocysteinemia (HHcy), identification of molecular mechanisms in bone development, and enhanced epithelial tight junction. In addition, rodent models of cancer responded positively to MR, as has been reported in colon, prostate, and breast cancer studies. The beneficial effects of MR have also been documented in a number of invertebrate model organisms, including yeast, nematodes, and fruit flies. MR not only promotes extended longevity in these organisms, but in the case of yeast has also been shown to improve stress tolerance. In addition, expression analyses of yeast and Drosophila undergoing MR have identified multiple candidate mediators of the beneficial effects of MR in these models. In this review, we emphasize other in vivo effects of MR such as in cardiovascular function, bone development, epithelial tight junction, and cancer. We also discuss the effects of MR in invertebrates."
NA,WBPaper00037449,"Aging, Metabolism, Stress, Pathogenesis, and Small RNAs, Madison, WI",2010,Role of Translation and SAM-dependent Methylation in TOR-mediated Longevity Response to Dietary Restriction,Ching T|Paal A|Hsu A,"Dietary restriction (DR) results in a robust increase in lifespan while maintaining the physiology of much younger animals in a wide range of species. Here, we examine the role of drr-2 and sams-1, two DR-responsive genes recently identified, in determining the longevity of C. elegans.  Inhibition of drr-2 as well as sams-1 has been shown to increase longevity.  Previous studies have also suggested that DR might trigger a regulated reduction in drr-2 and sams-1 expression to initiate its longevity response. However, the molecular mechanisms by which drr-2 or sams-1 influence longevity remain unknown.  While it is known that sams-1 encodes a S-adenosylmethionine (SAM) synthetase that catalyzes the biosynthesis of the universal methyl group donor SAM, the molecular function of drr-2 has not been previously known. We report here that drr-2 encodes an ortholog of human eukaryotic translation initiation factor 4H(eIF4H), whose function is to mediate the initiation step of mRNA translation. By examining the effect of increasing drr-2 expression on DR animals, we find that drr-2 is essential for a large portion of the longevity response to DR. The nutrient sensing target of rapamycin (TOR) pathway has been shown to mediate the longevity effects of DR in C. elegans. Results from our genetic analyses suggest that eIF4H/DRR-2 functions downstream of TOR, but in parallel to the S6K pathway to mediate the lifespan effects of DR. Similarly, we have found that sams-1 may also function downstream of TOR signaling to influence longevity. More interestingly, we found that, in addition to its expression level, the subcellular localization of SAMS-1 is altered in response to TOR signaling and DR. Together, our findings reveal important roles for eIF4H/DRR-2 as well as SAMS-1 in the TOR-mediated longevity responses to DR."
35438636,WBPaper00063962,Elife,2022,Dithiothreitol causes toxicity in <i>C. elegans</i> by modulating the methionine-homocysteine cycle.,G Gokul|Singh J,"The redox reagent dithiothreitol (DTT) causes stress in the endoplasmic reticulum (ER) by disrupting its oxidative protein folding environment, which results in the accumulation and misfolding of the newly synthesized proteins. DTT may potentially impact cellular physiology by ER-independent mechanisms; however, such mechanisms remain poorly characterized. Using the nematode model <i>Caenorhabditis elegans</i>, here we show that DTT toxicity is modulated by the bacterial diet. Specifically, the dietary component vitamin B12 alleviates DTT toxicity in a methionine synthase-dependent manner. Using a forward genetic screen, we discover that loss-of-function of R08E5.3, an S-adenosylmethionine (SAM)-dependent methyltransferase, confers DTT resistance. DTT upregulates R08E5.3 expression and modulates the activity of the methionine-homocysteine cycle. Employing genetic and biochemical studies, we establish that DTT toxicity is a result of the depletion of SAM. Finally, we show that a functional IRE-1/XBP-1 unfolded protein response pathway is required to counteract toxicity at high, but not low, DTT concentrations."
36533081,WBPaper00064960,Front Mol Biosci,2022,2-hydroxyisobutyric acid (2-HIBA) modulates ageing and fat deposition in Caenorhabditis elegans.,Schifano E|Conta G|Preziosi A|Ferrante C|Batignani G|Mancini P|Tomassini A|Sciubba F|Scopigno T|Uccelletti D|Miccheli A,"High levels of 2-hydroxyisobutyric acid (2-HIBA) were found in urines of patients with obesity and hepatic steatosis, suggesting a potential involvement of this metabolite in clinical conditions. The gut microbial origin of 2-HIBA was hypothesized, however its actual origin and role in biological processes are still not clear. We investigated how treatment with 2-HIBA affected the physiology of the model organism Caenorhabditis elegans, in both standard and high-glucose diet (HGD) growth conditions, by targeted transcriptomic and metabolomic analyses, Coherent Anti-Stokes Raman Scattering (CARS) and two-photon fluorescence microscopy. In standard conditions, 2-HIBA resulted particularly effective to extend the lifespan, delay ageing processes and stimulate the oxidative stress resistance in wild type nematodes through the activation of insulin/IGF-1 signaling (IIS) and p38 MAPK pathways and, consequently, through a reduction of ROS levels. Moreover, variations of lipid accumulation observed in treated worms correlated with transcriptional levels of fatty acid synthesis genes and with the involvement of peptide transporter PEP-2. In HGD conditions, the effect of 2-HIBA on C. elegans resulted in a reduction of the lipid droplets deposition, accordingly with an increase of acs-2 gene transcription, involved in &#946;-oxidation processes. In addition, the pro-longevity effect appeared to be correlated to higher levels of tryptophan, which may play a role in restoring the decreased viability observed in the HGD untreated nematodes."
24510589,WBPaper00044822,Genes Nutr,2014,S-Adenosyl methionine synthetase 1 limits fat storage in Caenorhabditis elegans.,Ehmke M|Luthe K|Schnabel R|Doring F,"Cytosolic lipid droplets are versatile, evolutionarily conserved organelles that are important for the storage and utilization of lipids in almost all cell types. To obtain insight into the physiological importance of lipid droplet size, we isolated and characterized a new S-adenosyl methionine synthetase 1 (SAMS-1)-deficient Caenorhabditis elegans mutant, which have enlarged lipid droplets throughout its life cycle. We found that the sams-1 mutant showed a markedly reduced body size and progeny number; impaired synthesis of phosphatidylcholine, a major membrane phospholipid; and elevated expression of key lipogenic genes, such as dgat-2, resulting in the accumulation of triacylglyceride in fewer, but larger, lipid droplets. The sams-1 mutant store more than 50% (wild type: 10%) of its intestinal fat in large lipid droplets, 10m(3) in size. In response to starvation, SAMS-1 deficiency causes reduced depletion of a subset of lipid droplets located in the anterior intestine. Given the importance of liberation of fatty acids from lipid droplets, we propose that the physiological function of SAMS-1, a highly conserved enzyme involved in one-carbon metabolism, is the limitation of fat storage to ensure proper growth and reproduction."
NA,WBPaper00063813,International Worm Meeting,2021,Identification of Metabolic Pathways Involved in Neuronal Regeneration,"Yadav, Dilip Kumar|Taub, Daniel|Gabel, Christopher","The inability of some neurons to sufficiently regenerate is in part due inefficient activation of intrinsic regeneration programs. A regenerating neuron must molecularly reprogram to allow the production of cellular components and meet the increased energy demands as well. Recent evidence highlights the critical role of metabolism in neuronal regeneration. We recently discovered that modifications in O-linked beta- N-acetylglucosamine (O-GlcNAc) signaling can strongly enhance axon regeneration. The findings indicate that O-GlcNAc transferase (OGT-1) mutation enhances axon regeneration due to shifts in cellular glycolysis. To identify the important genetic and metabolic factors involved in this effect, we adapted unbiased approach. We performed whole worm RNAseq analysis for wild-type and ogt-1(-/-) or O-GlcNAcase, oga-1(-/-), mutants. A relatively smaller number of genes were differentially expressed in oga-1(-/-) compared to wildtype, but notably they were enriched in carbohydrate, energy, and amino acid metabolism. On the other hand, we identified a large number of differentially expressed genes in the ogt-1(-/-) compared to wild-type. These genes are involved in numerous cellular processes, metabolic and signaling pathways such as development, cell growth and death, and signal transduction, as well as lipid, carbohydrate, amino acid and energy metabolism. Importantly we find differential expression of several genes with known roles in regeneration (including ced-3, daf-18, lin-12, cex-1, fax-1 etc.) confirming the validity of this approach. In addition, we find genes involved in One Carbon Metabolism (OCM), transmethylation pathways (folr-1, sams-5, set-1 etc.) and associated lipid metabolism (fat-7, ckb-2, dod-20 etc.). Performing single neuron regeneration experiments in the major S-Adenosyl Methionine Synthase (sams-1) deletion mutant, we find a significant reduction in regeneration following laser axotomy of the ALM neuron. Importantly sams-1 mutation appears to also block the enhanced regeneration effects of ogt-1 in a sams-1;ogt-1 double mutant. Our findings begin to identify genes and transcriptional regulatory pathways underlying enhanced regeneration via O-GlcNAc signaling. Our results predict that knockdown of OCM or glycolysis genes will either block or reduce, the enhanced regeneration of ogt-1(-/-), highlighting and defining the importance of cellular metabolism in neuronal regeneration."
NA,WBPaper00043211,International Worm Meeting,2013,"Genome wide responses to methyl donor availability reveal effects on metabolic, stress response and germline function genes.","Ding, Wei|Irwin, Michael|Hansen, Malene|Walker, Amy K.","Animals must coordinate nutritional input and metabolism with growth and reproduction. Small molecules, such as s-adenosylmethionine (SAMe) produced by the 1-carbon/folate cycle (1CC) and used as the major methyl donor, can modify protein activity and contribute to phospholipid biosynthesis. In C. elegans, reducing function of sams-1, a SAMe synthase, increases lifespan and lipid droplet accumulation while reducing fertility. We hypothesize that SAMe levels provide signals reseting physiology to compensate for altered nutritional inputs. SAMe is used for methylation of proteins, such as histones in epigenetic modification, but is also critical for production of phosphatidylcholine (PC), a major membrane phospholipid. Indeed sams-1(RNAi) animals have low levels of PC and lipid accumulation, fertility and lifespan return to wild-type levels when methylation-independent pathways of PC production are supported through dietary addition of choline. However, links between SAMe levels and direct changes of gene expression are unknown. To separate SAMe-specific effects from combined SAMe/PC functions, we compared global gene expression levels in sams-1(RNAi) animals with sams-1(RNAi) rescued by choline. Major functional groups of genes increasing with sams-1(RNAi) included metabolism (1CC, lipid biosynthesis, carbohydrate modification) and stress responses. However, decreased genes grouped in distinct subsets of metabolic pathways (carbohydrate catabolism, amino sugar metabolism and lipid binding), as well as genes important for germline function and RNA processing. We found that more than 90% of sams-1(RNAi) up- or downregulated genes returned to wild-type levels with choline supplementation. Interestingly, genes not returning to wild-type levels clustered in metabolic pathways such as the 1CC, suggesting potential for PC-independent SAMe effects. However, essentially all germline function genes were rescued. This correlates with the near complete rescue of fertility by choline, and suggests coordination of brood size with metabolic function acts through SAMe/PC pathways in these animals."
21389045,WBPaper00038215,J Biochem,2011,Contribution of sams-1 and pmt-1 to lipid homoeostasis in adult Caenorhabditis elegans.,Li Y|Na K|Lee HJ|Lee EY|Paik YK,"Accumulation of lipids inside the cell is primarily caused by disorders of lipid metabolism. S-adenosylmethionine synthetase (SAMS) produces SAM, an important methyl donor in various phospholipid methyltransferase reactions catalysed by phosphoethanolamine N-methyltransferase (PMT-1). A gel-based, quantitative proteomic analysis of the RNA interference (RNAi)-mediated inactivation of the pod-2 gene, which encodes acetyl-CoA carboxylase, showed a substantial down-regulation of SAMS-1. Consequently, RNAi of either sams-1 or pmt-1 caused a significant increase in lipid droplet size in the intestine of Caenorhabditis elegans. Lipid droplets exhibited increased triacylglycerol (TG) and decreased phosphatidylcholine (PC) levels, suggesting a reciprocal relationship between TG and PC regulation. These lipid-associated phenotypes were rescued by choline feeding. Among the five fat metabolism-related genes examined, two genes were highly induced by inactivation of sams-1 or pmt-1: pod-2 and stearoyl-CoA desaturase (fat-7). Thus, both SAMS-1 and PMT-1 were shown to contribute to the homoeostasis of TG and PC levels in C. elegans, which would provide an important survival strategy under harsh environmental conditions."
NA,WBPaper00058577,International Worm Meeting,2019,The subcellular distribution of SAMS-1 is regulated by AMPK and PP2A in response to dietary changes in C. elegans.,"Jung, Y.|Hsu, A.|Ching, T.","Dietary restriction (DR) robustly induces lifespan extension in a variety of species, ranging from yeast to mammals. In our previous studies, we have identified S-adenosylmethionine synthetase 1, SAMS-1, as an important regulator in DR-induced longevity in C. elegans. The subcellular distribution of intestinal SAMS-1 appears to be dynamic and is dependent upon food availability. We found that intestinal SAMS-1 is accumulated in the nucleus under ad libitum condition, whereas SAMS-1 translocates to the cytoplasm in response to starvation or dietary restriction. This DR-induced translocation of SAMS-1 is regulated via its phosphorylation status by AMPK activity. When animals return back to the ad libitum conditions from DR, SAMS-1 is re-localized back to the nucleus as well. Since the subcellular distribution of SAMS-1 is regulated by AMPK, we hypothesized that the translocation of SAMS-1 from the cytosol to the nucleus when recovered from DR is mediated by phosphatases. In order to identify the phosphatases involved in this process, we have performed a phosphatase RNAi screen in C. elegans. Through the screen, we found that RNAi knockdown of protein phosphatase 2A inhibits the relocation of SAMS-1 to the nucleus during the recovery from DR. Our results indicate that AMPK and PP2A might act together to modulate the subcellular distribution of intestinal SAMS-1 in response to dietary changes in C. elegans."
NA,WBPaper00038832,International Worm Meeting,2011,"Control of one-carbon cycle genes by SBP-1 links SAMe production, PC biosynthesis and lipogenesis.","Walker, Amy K.|Jacobs, Rene|Watts, Jennifer L.|Rottiers, Veerle|Hansen, Malene|Hart, Anne|Naar, Anders","To understand regulation of lipogenesis, we have examined the SBP-1/SREBP transcription factors necessary for fatty acid, phospholipid and cholesterol biosynthetic gene expression and lipid accumulation in vivo. Inactive SREBPs reside cytoplasmically in the ER and are activated by transit to the Golgi, where proteases release transcriptionally active forms to the nucleus. We have found a new set of SBP target genes in the 1-carbon cycle (1CC), including sams-1, an enzyme which produces s-adenosylmethionine (SAMe), the major methyl donor. We also found a feedback loop increasing SBP-1-dependent transcription and lipogenesis in C. elegans, murine liver and human cells when SAMe is limited. Deficiencies folate or other 1C metabolites predispose human fatty liver disease; thus, our studies linking SAMe production to SBP-1-dependent lipogenesis in C. elegans are likely relevant to metabolic disorders common in Western populations. 
   sbp-1(RNAi) animals are lean and several SBP-1 targets, such as fat-7 are also required for lipogenesis. However, sams-1(RNAi) animals have increased lipid accumulation and lipogenic gene expression which depend on sbp-1, suggesting a feedback loop activating SBP-1 when SAMe is limiting. Metabolomic profiling after sams-1 RNAi revealed defects in phosphatidylcholine (PC) biosynthesis, which can require multiple methylation steps. Genetic ablation of PC biosynthesis coupled with dietary rescue experiments show that SBP-1 activity is sensitive to PC levels. We also found that murine liver or human cells with diminished SAMe or PC synthesis had increases in lipogenesis and SREBP-1 activity. Because PC is a major membrane component, we reasoned that SBP-1 activation was mechanistically linked to ER or Golgi function. We found that ER stress responses are strongly activated after sams-1 RNAi, but are not contributors to SBP-1 activation. However, Golgi markers were disrupted. Therefore we examined localization of Golgi-resident, SREBP-activating proteases in human cells and found that limiting SAMe or PC caused these proteases to relocalize to the ER, allowing processing of SREBP-1 and activation. Our observations show SBP-1/SREBP-1 may be over activated when SAMe and PC are low and may also reveal how methyl-deficient diets contribute to human fatty liver disease."
23496871,WBPaper00042257,BMC Genomics,2013,Comparative genomics and functional study of lipid metabolic genes in Caenorhabditis elegans.,Zhang Y|Zou X|Ding Y|Wang H|Wu X|Liang B,"BACKGROUND: Animal models are indispensable to understand the lipid metabolism and lipid metabolic diseases. Over the last decade, the nematode Caenorhabditis elegans has become a popular animal model for exploring the regulation of lipid metabolism, obesity, and obese-related diseases. However, the genomic and functional conservation of lipid metabolism from C. elegans to humans remains unknown. In the present study, we systematically analyzed genes involved in lipid metabolism in the C. elegans genome using comparative genomics. RESULTS: We built a database containing 471 lipid genes from the C. elegans genome, and then assigned most of lipid genes into 16 different lipid metabolic pathways that were integrated into a network. Over 70% of C. elegans lipid genes have human orthologs, with 237 of 471 C. elegans lipid genes being conserved in humans, mice, rats, and Drosophila, of which 71 genes are specifically related to human metabolic diseases. Moreover, RNA-mediated interference (RNAi) was used to disrupt the expression of 356 of 471 lipid genes with available RNAi clones. We found that 21 genes strongly affect fat storage, development, reproduction, and other visible phenotypes, 6 of which have not previously been implicated in the regulation of fat metabolism and other phenotypes. CONCLUSIONS: This study provides the first systematic genomic insight into lipid metabolism in C. elegans, supporting the use of C. elegans as an increasingly prominent model in the study of metabolic diseases."
24843123,WBPaper00045290,Proc Natl Acad Sci U S A,2014,Activation of the endoplasmic reticulum unfolded protein response by lipid disequilibrium without disturbed proteostasis in vivo.,Hou NS|Gutschmidt A|Choi DY|Pather K|Shi X|Watts JL|Hoppe T|Taubert S,"The Mediator is a conserved transcriptional coregulator complex required for eukaryotic gene expression. In Caenorhabditis elegans, the Mediator subunit mdt-15 is essential for the expression of genes involved in fatty acid metabolism and ingestion-associated stress responses. mdt-15 loss of function causes defects in reproduction and mobility and shortens lifespan. In the present study, we find that worms with mutated or depleted mdt-15 (mdt-15 worms) exhibit decreased membrane phospholipid desaturation, especially in phosphatidylcholine. Accordingly, mdt-15 worms exhibit disturbed endoplasmic reticulum (ER) homeostasis, as indicated by a constitutively activated ER unfolded protein response (UPR(ER)). Activation of this stress response is only partially the consequence of reduced membrane lipid desaturation, implicating other mdt-15-regulated processes in maintaining ER homeostasis. Interestingly, mdt-15 inactivation or depletion of the lipid metabolism enzymes stearoyl-CoA-desaturases (SCD) and S-adenosyl methionine synthetase (sams-1) activates the UPR(ER) without promoting misfolded protein aggregates. Moreover, these worms exhibit wild-type sensitivity to chemically induced protein misfolding, and they do not display synthetic lethality with mutations in UPR(ER) genes, which cause protein misfolding. Therefore, the constitutively activated UPR(ER) in mdt-15, SCD, and sams-1 worms is not the consequence of proteotoxic stress but likely is the direct result of changes in ER membrane fluidity and composition. Together, our data suggest that the UPR(ER) is induced directly upon membrane disequilibrium and thus monitors altered ER homeostasis."
