Journal Name,ISSN,2021 JIF,eISSN,Category
CORROSION,0010-9312,2.094,1938-159X,"METALLURGY & METALLURGICAL ENGINEERING - SCIE(Q2); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q3)"
Science and Technology for the Built Environment,2374-4731,2.094,2374-474X,"THERMODYNAMICS - SCIE(Q3); CONSTRUCTION & BUILDING TECHNOLOGY - SCIE(Q3); ENGINEERING, MECHANICAL - SCIE(Q3)"
Journal of Human Development and Capabilities,1945-2829,2.094,1945-2837,DEVELOPMENT STUDIES - SSCI(Q3)
ALLERGOLOGIA ET IMMUNOPATHOLOGIA,0301-0546,2.094,1578-1267,IMMUNOLOGY - SCIE(Q4); ALLERGY - SCIE(Q4)
MONTHLY LABOR REVIEW,0098-1818,2.093,1937-4658,INDUSTRIAL RELATIONS & LABOR - SSCI(Q3)
Demonstratio Mathematica,0420-1213,2.093,2391-4661,MATHEMATICS - SCIE(Q1)
Revista Mexicana de Ingenieria Quimica,1665-2738,2.093,N/A,"CHEMISTRY, APPLIED - SCIE(Q3); ENGINEERING, CHEMICAL - SCIE(Q3)"
VANDERBILT LAW REVIEW,0042-2533,2.092,1942-9886,LAW - SSCI(Q1)
American Journal of Hospice & Palliative Medicine,1049-9091,2.09,1938-2715,HEALTH CARE SCIENCES & SERVICES - SCIE(Q4)
BMC Urology,1471-2490,2.09,1471-2490,UROLOGY & NEPHROLOGY - SCIE(Q3)
Reproductive Biology,1642-431X,2.089,2300-732X,REPRODUCTIVE BIOLOGY - SCIE(Q4)
SIAM-ASA Journal on Uncertainty Quantification,2166-2525,2.089,2166-2525,"PHYSICS, MATHEMATICAL - SCIE(Q2); MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE(Q2)"
IRISH JOURNAL OF MEDICAL SCIENCE,0021-1265,2.089,1863-4362,"MEDICINE, GENERAL & INTERNAL - SCIE(Q3)"
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,2329-8456,2.088,2329-8464,"ZOOLOGY - SCIE(Q2); PSYCHOLOGY, EXPERIMENTAL - SSCI(Q3); PSYCHOLOGY, BIOLOGICAL - SSCI(Q3); BEHAVIORAL SCIENCES - SCIE(Q4); PSYCHOLOGY - SCIE(Q4)"
CLINICAL AND EXPERIMENTAL HYPERTENSION,1064-1963,2.088,1525-6006,PERIPHERAL VASCULAR DISEASE - SCIE(Q4); PHARMACOLOGY & PHARMACY - SCIE(Q4)
FISHERIES MANAGEMENT AND ECOLOGY,0969-997X,2.088,1365-2400,FISHERIES - SCIE(Q3)
Science and Public Policy,0302-3427,2.087,1471-5430,PUBLIC ADMINISTRATION - SSCI(Q3); MANAGEMENT - SSCI(Q4); ENVIRONMENTAL STUDIES - SSCI(Q4)
International Journal of Applied Glass Science,2041-1286,2.087,2041-1294,"MATERIALS SCIENCE, CERAMICS - SCIE(Q2)"
GENETICS AND MOLECULAR BIOLOGY,1415-4757,2.087,1678-4685,GENETICS & HEREDITY - SCIE(Q4); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q4)
EASTERN MEDITERRANEAN HEALTH JOURNAL,1020-3397,2.087,1687-1634,"HEALTH POLICY & SERVICES - SSCI(Q3); HEALTH CARE SCIENCES & SERVICES - SCIE(Q4); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q4)"
Clinical Child Psychology and Psychiatry,1359-1045,2.087,1461-7021,"PSYCHOLOGY, DEVELOPMENTAL - SSCI(Q3); PSYCHOLOGY, CLINICAL - SSCI(Q3); PSYCHOLOGY - SCIE(Q4); PSYCHIATRY - SCIE(Q4); PSYCHIATRY - SSCI(Q4)"
Journal of Immigrant & Refugee Studies,1556-2948,2.087,1556-2956,SOCIOLOGY - SSCI(Q3); DEMOGRAPHY - SSCI(Q3); ETHNIC STUDIES - SSCI(Q3)
BMC Ophthalmology,N/A,2.086,1471-2415,OPHTHALMOLOGY - SCIE(Q3)
Child Abuse Review,0952-9136,2.086,1099-0852,SOCIAL WORK - SSCI(Q2); FAMILY STUDIES - SSCI(Q2)
Journal of Periodontal and Implant Science,2093-2278,2.086,2093-2286,"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE(Q4)"
Romanian Reports in Physics,1221-1451,2.085,1841-8759,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q3)"
PLANETARY AND SPACE SCIENCE,0032-0633,2.085,1873-5088,ASTRONOMY & ASTROPHYSICS - SCIE(Q3)
Journal of Policy and Practice in Intellectual Disabilities,1741-1122,2.084,1741-1130,REHABILITATION - SSCI(Q2); HEALTH POLICY & SERVICES - SSCI(Q4)
Integrative Zoology,1749-4877,2.083,1749-4869,ZOOLOGY - SCIE(Q2)
RADIOCHIMICA ACTA,0033-8230,2.083,2193-3405,"NUCLEAR SCIENCE & TECHNOLOGY - SCIE(Q2); CHEMISTRY, INORGANIC & NUCLEAR - SCIE(Q3)"
ECONOMICS OF EDUCATION REVIEW,0272-7757,2.083,1873-7382,ECONOMICS - SSCI(Q2); EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q3)
Molecular Genetics and Metabolism Reports,N/A,2.082,2214-4269,GENETICS & HEREDITY - SCIE(Q4)
Gesunde Pflanzen,0367-4223,2.082,1439-0345,AGRONOMY - SCIE(Q2)
Economic Systems Research,0953-5314,2.081,1469-5758,ECONOMICS - SSCI(Q3)
JOURNAL OF COMPUTER ASSISTED TOMOGRAPHY,0363-8715,2.081,1532-3145,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q3)"
RUBBER CHEMISTRY AND TECHNOLOGY,0035-9475,2.081,1943-4804,POLYMER SCIENCE - SCIE(Q3)
ELECTORAL STUDIES,0261-3794,2.08,1873-6890,POLITICAL SCIENCE - SSCI(Q2)
MICROSURGERY,0738-1085,2.08,1098-2752,SURGERY - SCIE(Q3)
CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,0944-2669,2.079,1432-0835,"MATHEMATICS - SCIE(Q1); MATHEMATICS, APPLIED - SCIE(Q2)"
Information Development,0266-6669,2.079,1741-6469,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI(Q3)
Arhiv za Higijenu Rada i Toksikologiju-Archives of Industrial Hygiene and Toxicology,0004-1254,2.078,1848-6312,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q4); TOXICOLOGY - SCIE(Q4)"
Anthropological Theory,1463-4996,2.078,1741-2641,ANTHROPOLOGY - SSCI(Q2)
Journal of Optics,2040-8978,2.077,2040-8986,OPTICS - SCIE(Q3)
Scandinavian Journal of Occupational Therapy,1103-8128,2.077,1651-2014,REHABILITATION - SSCI(Q2); REHABILITATION - SCIE(Q3)
AMERICAN CERAMIC SOCIETY BULLETIN,0002-7812,2.077,1945-2705,"MATERIALS SCIENCE, CERAMICS - SCIE(Q2)"
NEUROPATHOLOGY,0919-6544,2.076,1440-1789,PATHOLOGY - SCIE(Q3); CLINICAL NEUROLOGY - SCIE(Q4); NEUROSCIENCES - SCIE(Q4)
PHYSICAL GEOGRAPHY,0272-3646,2.075,1930-0557,"GEOGRAPHY, PHYSICAL - SCIE(Q3); GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q3); ENVIRONMENTAL SCIENCES - SCIE(Q4); METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE(Q4)"
ARTHROPOD STRUCTURE & DEVELOPMENT,1467-8039,2.075,1873-5495,ENTOMOLOGY - SCIE(Q2)
CANCER JOURNAL,1528-9117,2.074,1540-336X,ONCOLOGY - SCIE(Q4)
Annual Reports on NMR Spectroscopy,0066-4103,2.074,N/A,SPECTROSCOPY - SCIE(Q3)
EVOLUTIONARY ECOLOGY,0269-7653,2.074,1573-8477,ECOLOGY - SCIE(Q3); GENETICS & HEREDITY - SCIE(Q4); EVOLUTIONARY BIOLOGY - SCIE(Q4)
PACIFIC REVIEW,0951-2748,2.074,1470-1332,AREA STUDIES - SSCI(Q1); INTERNATIONAL RELATIONS - SSCI(Q2)
PUBLIUS-THE JOURNAL OF FEDERALISM,0048-5950,2.074,1747-7107,POLITICAL SCIENCE - SSCI(Q2)
CANADIAN JOURNAL OF PLANT PATHOLOGY,0706-0661,2.074,1715-2992,PLANT SCIENCES - SCIE(Q3)
Asian Journal of Communication,0129-2986,2.074,1742-0911,COMMUNICATION - SSCI(Q3)
WETLANDS,0277-5212,2.074,1943-6246,ECOLOGY - SCIE(Q3); ENVIRONMENTAL SCIENCES - SCIE(Q4)
International Relations,0047-1178,2.073,1741-2862,INTERNATIONAL RELATIONS - SSCI(Q2)
Entertainment Computing,1875-9521,2.072,1875-953X,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE(Q3); COMPUTER SCIENCE, CYBERNETICS - SCIE(Q3); COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q4)"
Microscopy,2050-5698,2.072,2050-5701,MICROSCOPY - SCIE(Q3)
PALAEONTOGRAPHICA ABTEILUNG A-PALAOZOOLOGIE-STRATIGRAPHIE,0375-0442,2.071,0375-0442,PALEONTOLOGY - SCIE(Q2)
INTERNATIONAL SOCIAL WORK,0020-8728,2.071,1461-7234,SOCIAL WORK - SSCI(Q2)
INTERNATIONAL DEVELOPMENT PLANNING REVIEW,1474-6743,2.071,1478-3401,DEVELOPMENT STUDIES - SSCI(Q3); REGIONAL & URBAN PLANNING - SSCI(Q4)
Australian Journal of General Practice,2208-794X,2.071,2208-7958,"MEDICINE, GENERAL & INTERNAL - SCIE(Q3)"
SIAM JOURNAL ON MATHEMATICAL ANALYSIS,0036-1410,2.071,1095-7154,"MATHEMATICS, APPLIED - SCIE(Q2)"
Dyna,0012-7361,2.07,1989-1490,"ENGINEERING, MULTIDISCIPLINARY - SCIE(Q3)"
SURFACE SCIENCE,0039-6028,2.07,1879-2758,"PHYSICS, CONDENSED MATTER - SCIE(Q3); CHEMISTRY, PHYSICAL - SCIE(Q4)"
Mathematical Sciences,2008-1359,2.07,2251-7456,"MATHEMATICS - SCIE(Q1); MATHEMATICS, APPLIED - SCIE(Q2)"
Medical Molecular Morphology,1860-1480,2.07,1860-1499,PATHOLOGY - SCIE(Q3)
PEDIATRIC HEMATOLOGY AND ONCOLOGY,0888-0018,2.07,1521-0669,PEDIATRICS - SCIE(Q3); HEMATOLOGY - SCIE(Q4); ONCOLOGY - SCIE(Q4)
International Journal of Cognitive Therapy,1937-1209,2.069,1937-1217,"PSYCHOLOGY, CLINICAL - SSCI(Q3); PSYCHIATRY - SSCI(Q4)"
Swiss Journal of Palaeontology,1664-2376,2.069,1664-2384,PALEONTOLOGY - SCIE(Q2)
COPD-Journal of Chronic Obstructive Pulmonary Disease,1541-2555,2.069,1541-2563,RESPIRATORY SYSTEM - SCIE(Q4)
JOURNAL OF INSECT SCIENCE,N/A,2.066,1536-2442,ENTOMOLOGY - SCIE(Q2)
Journal of Wound Care,0969-0700,2.066,2062-2916,DERMATOLOGY - SCIE(Q3)
DYSLEXIA,1076-9242,2.066,1099-0909,"EDUCATION, SPECIAL - SSCI(Q2); REHABILITATION - SSCI(Q2); PSYCHOLOGY, EDUCATIONAL - SSCI(Q3)"
Global Health Promotion,1757-9759,2.066,1757-9767,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q3)"
JOURNAL OF ADDICTIVE DISEASES,1055-0887,2.065,1545-0848,SUBSTANCE ABUSE - SSCI(Q4)
JOURNAL OF INFECTION AND CHEMOTHERAPY,1341-321X,2.065,1437-7780,INFECTIOUS DISEASES - SCIE(Q4); PHARMACOLOGY & PHARMACY - SCIE(Q4)
EXPERIMENTAL BRAIN RESEARCH,0014-4819,2.064,1432-1106,NEUROSCIENCES - SCIE(Q4)
Lifestyle Genomics,2504-3161,2.063,2504-3188,GENETICS & HEREDITY - SCIE(Q4); NUTRITION & DIETETICS - SCIE(Q4)
ATMOSFERA,0187-6236,2.063,2395-8812,METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE(Q4)
MATERIALS SCIENCE AND TECHNOLOGY,0267-0836,2.06,1743-2847,"METALLURGY & METALLURGICAL ENGINEERING - SCIE(Q2); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q3)"
FULLERENES NANOTUBES AND CARBON NANOSTRUCTURES,1536-383X,2.06,1536-4046,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q3); PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE(Q3); CHEMISTRY, PHYSICAL - SCIE(Q4); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q4)"
Abacus-A Journal of Accounting Finance and Business Studies,0001-3072,2.06,1467-6281,"BUSINESS, FINANCE - SSCI(Q3)"
Australian Journal of Rural Health,1038-5282,2.06,1440-1584,"NURSING - SSCI(Q2); NURSING - SCIE(Q3); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q3); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q4)"
Journal of Health Organization and Management,1477-7266,2.059,1758-7247,HEALTH POLICY & SERVICES - SSCI(Q4)
Journal of Economic Policy Reform,1748-7870,2.059,1748-7889,DEVELOPMENT STUDIES - SSCI(Q3); ECONOMICS - SSCI(Q3)
LOCAL GOVERNMENT STUDIES,0300-3930,2.059,1743-9388,POLITICAL SCIENCE - SSCI(Q2); PUBLIC ADMINISTRATION - SSCI(Q4); REGIONAL & URBAN PLANNING - SSCI(Q4)
ANNALES SOCIETATIS GEOLOGORUM POLONIAE,0208-9068,2.059,0208-9068,GEOLOGY - SCIE(Q2)
Cultural Trends,0954-8963,2.059,1469-3690,"CULTURAL STUDIES - AHCI(N/A); HUMANITIES, MULTIDISCIPLINARY - AHCI(N/A); CULTURAL STUDIES - SSCI(Q1); SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI(Q2)"
JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING,0733-950X,2.059,1943-5460,"ENGINEERING, CIVIL - SCIE(Q3); WATER RESOURCES - SCIE(Q3); ENGINEERING, OCEAN - SCIE(Q3)"
Journal of Veterinary Research,2450-7393,2.058,2450-8608,VETERINARY SCIENCES - SCIE(Q2)
Nations and Nationalism,1354-5078,2.058,1469-8129,HISTORY - SSCI(Q1); POLITICAL SCIENCE - SSCI(Q2); SOCIOLOGY - SSCI(Q3); ETHNIC STUDIES - SSCI(Q3)
JOURNAL OF THE OPTICAL SOCIETY OF AMERICA B-OPTICAL PHYSICS,0740-3224,2.058,1520-8540,OPTICS - SCIE(Q3)
ADVANCED ROBOTICS,0169-1864,2.057,1568-5535,ROBOTICS - SCIE(Q4)
TRANSFUSION MEDICINE,0958-7578,2.057,1365-3148,HEMATOLOGY - SCIE(Q4)
AREA,0004-0894,2.057,1475-4762,GEOGRAPHY - SSCI(Q3)
SCHOOL PSYCHOLOGY INTERNATIONAL,0143-0343,2.056,1461-7374,"PSYCHOLOGY, EDUCATIONAL - SSCI(Q3)"
TRIBOLOGY TRANSACTIONS,1040-2004,2.056,1547-397X,"ENGINEERING, MECHANICAL - SCIE(Q3)"
ECOLOGICAL RESEARCH,0912-3814,2.056,1440-1703,ECOLOGY - SCIE(Q3)
Journal of the American Psychiatric Nurses Association,1078-3903,2.056,1532-5725,NURSING - SCIE(Q3); NURSING - SSCI(Q3); PSYCHIATRY - SSCI(Q4); PSYCHIATRY - SCIE(Q4)
INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL HYPNOSIS,0020-7144,2.056,1744-5183,"PSYCHIATRY - SSCI(Q4); PSYCHOLOGY, CLINICAL - SSCI(Q4)"
Psychology of Learning and Motivation,0079-7421,2.056,N/A,"PSYCHOLOGY, EXPERIMENTAL - SSCI(Q4)"
Egyptian Journal of Biological Pest Control,1110-1768,2.055,2536-9342,ENTOMOLOGY - SCIE(Q2)
Educational Philosophy and Theory,0013-1857,2.054,1469-5812,EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q3)
Communication Culture & Critique,1753-9129,2.052,1753-9137,COMMUNICATION - SSCI(Q3)
CUAJ-Canadian Urological Association Journal,1911-6470,2.052,1920-1214,UROLOGY & NEPHROLOGY - SCIE(Q4)
MEDICINE SCIENCE AND THE LAW,0025-8024,2.051,2042-1818,"LAW - SSCI(Q1); MEDICINE, LEGAL - SCIE(Q2)"
JOURNAL OF COLLEGE STUDENT DEVELOPMENT,0897-5264,2.051,1543-3382,"EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q3); PSYCHOLOGY, APPLIED - SSCI(Q3)"
International Journal of Science and Mathematics Education,1571-0068,2.051,1573-1774,EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q3)
IET Nanobiotechnology,1751-8741,2.05,1751-875X,BIOCHEMICAL RESEARCH METHODS - SCIE(Q4); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q4)
Applied Neuropsychology-Adult,2327-9095,2.05,2327-9109,PSYCHOLOGY - SCIE(Q4); CLINICAL NEUROLOGY - SCIE(Q4)
COLORATION TECHNOLOGY,1472-3581,2.049,1478-4408,"MATERIALS SCIENCE, TEXTILES - SCIE(Q2); ENGINEERING, CHEMICAL - SCIE(Q3); CHEMISTRY, APPLIED - SCIE(Q3)"
DYNAMICS OF ATMOSPHERES AND OCEANS,0377-0265,2.049,1872-6879,GEOCHEMISTRY & GEOPHYSICS - SCIE(Q3); OCEANOGRAPHY - SCIE(Q3); METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE(Q4)
BULLETIN OF ENTOMOLOGICAL RESEARCH,0007-4853,2.048,1475-2670,ENTOMOLOGY - SCIE(Q2)
SEMICONDUCTOR SCIENCE AND TECHNOLOGY,0268-1242,2.048,1361-6641,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q3); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q3); PHYSICS, CONDENSED MATTER - SCIE(Q3)"
ACTA VETERINARIA SCANDINAVICA,0044-605X,2.048,1751-0147,VETERINARY SCIENCES - SCIE(Q2)
JOURNAL OF ELECTRONIC MATERIALS,0361-5235,2.047,1543-186X,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q3); PHYSICS, APPLIED - SCIE(Q3); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q4)"
Review of European Comparative & International Environmental Law,2050-0386,2.047,2050-0394,LAW - SSCI(Q2); ENVIRONMENTAL STUDIES - SSCI(Q4)
ACM Journal on Computing and Cultural Heritage,1556-4673,2.047,1556-4711,"HUMANITIES, MULTIDISCIPLINARY - AHCI(N/A); COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q4)"
CLINICAL EEG AND NEUROSCIENCE,1550-0594,2.046,2169-5202,NEUROIMAGING - SCIE(Q4); CLINICAL NEUROLOGY - SCIE(Q4); PSYCHOLOGY - SCIE(Q4); NEUROSCIENCES - SCIE(Q4); PSYCHIATRY - SCIE(Q4)
Journal of Pediatric and Adolescent Gynecology,1083-3188,2.046,1873-4332,PEDIATRICS - SCIE(Q3); OBSTETRICS & GYNECOLOGY - SCIE(Q4)
JOURNAL OF VASCULAR RESEARCH,1018-1172,2.045,1423-0135,PERIPHERAL VASCULAR DISEASE - SCIE(Q4); PHYSIOLOGY - SCIE(Q4)
JOURNAL OF ETHNOBIOLOGY,0278-0771,2.045,2162-4496,ANTHROPOLOGY - SSCI(Q2); BIOLOGY - SCIE(Q3)
Victims & Offenders,1556-4886,2.045,1556-4991,CRIMINOLOGY & PENOLOGY - SSCI(Q2)
Social Anthropology,0964-0282,2.045,1469-8676,ANTHROPOLOGY - SSCI(Q2)
BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING,0952-4622,2.045,2165-0586,ZOOLOGY - SCIE(Q2)
GEMS & GEMOLOGY,0016-626X,2.045,2376-4473,MINERALOGY - SCIE(Q2)
Avian Research,2053-7166,2.043,2053-7166,ORNITHOLOGY - SCIE(Q1)
JOURNAL OF GEOGRAPHY,0022-1341,2.043,1752-6868,GEOGRAPHY - SSCI(Q3)
Applied Spatial Analysis and Policy,1874-463X,2.043,1874-4621,GEOGRAPHY - SSCI(Q3); REGIONAL & URBAN PLANNING - SSCI(Q4); ENVIRONMENTAL STUDIES - SSCI(Q4)
JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY,0193-2691,2.042,1532-2351,"CHEMISTRY, PHYSICAL - SCIE(Q4)"
JOGNN-JOURNAL OF OBSTETRIC GYNECOLOGIC AND NEONATAL NURSING,0884-2175,2.042,1552-6909,NURSING - SCIE(Q3); NURSING - SSCI(Q3); OBSTETRICS & GYNECOLOGY - SCIE(Q4)
Drug Metabolism and Pharmacokinetics,1347-4367,2.041,1880-0920,PHARMACOLOGY & PHARMACY - SCIE(Q4)
International Journal of Precision Engineering and Manufacturing,2234-7593,2.041,2005-4602,"ENGINEERING, MECHANICAL - SCIE(Q3); ENGINEERING, MANUFACTURING - SCIE(Q4)"
JOURNAL OF SPINAL CORD MEDICINE,1079-0268,2.04,2045-7723,CLINICAL NEUROLOGY - SCIE(Q4)
CYTOTECHNOLOGY,0920-9069,2.04,1573-0778,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q4); CELL BIOLOGY - SCIE(Q4)
JOURNAL OF DIFFERENTIAL GEOMETRY,0022-040X,2.04,1945-743X,MATHEMATICS - SCIE(Q1)
Journal of Comparative Effectiveness Research,2042-6305,2.04,2042-6313,HEALTH CARE SCIENCES & SERVICES - SCIE(Q4)
International Journal of Aeroacoustics,1475-472X,2.04,2048-4003,"ENGINEERING, AEROSPACE - SCIE(Q2); MECHANICS - SCIE(Q3); ACOUSTICS - SCIE(Q3)"
Expert Review of Pharmacoeconomics & Outcomes Research,1473-7167,2.039,1744-8379,PHARMACOLOGY & PHARMACY - SCIE(Q4); HEALTH POLICY & SERVICES - SSCI(Q4); HEALTH CARE SCIENCES & SERVICES - SCIE(Q4)
Journal of Engineering Thermophysics,1810-2328,2.038,1990-5432,"ENGINEERING, MECHANICAL - SCIE(Q3); MECHANICS - SCIE(Q3); THERMODYNAMICS - SCIE(Q3)"
ANNALS OF APPLIED PROBABILITY,1050-5164,2.038,N/A,STATISTICS & PROBABILITY - SCIE(Q2)
INTERNATIONAL JOURNAL OF VEHICLE DESIGN,0143-3369,2.037,1741-5314,"TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE(Q3); ENGINEERING, MECHANICAL - SCIE(Q3)"
COMPARATIVE EDUCATION REVIEW,0010-4086,2.037,1545-701X,EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q3)
NEUROLOGIA MEDICO-CHIRURGICA,0470-8105,2.036,1349-8029,SURGERY - SCIE(Q3); CLINICAL NEUROLOGY - SCIE(Q4)
IEEE TRANSACTIONS ON ELECTROMAGNETIC COMPATIBILITY,0018-9375,2.036,1558-187X,"TELECOMMUNICATIONS - SCIE(Q3); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q3)"
Journal of Contemporary Criminal Justice,1043-9862,2.036,1552-5406,CRIMINOLOGY & PENOLOGY - SSCI(Q2)
JOURNAL OF MATERIALS ENGINEERING AND PERFORMANCE,1059-9495,2.036,1544-1024,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q4)"
GEOPHYSICAL PROSPECTING,0016-8025,2.035,1365-2478,GEOCHEMISTRY & GEOPHYSICS - SCIE(Q3)
COMPUTATIONAL STATISTICS & DATA ANALYSIS,0167-9473,2.035,1872-7352,"STATISTICS & PROBABILITY - SCIE(Q2); COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q4)"
ARQUIVOS DE NEURO-PSIQUIATRIA,0004-282X,2.035,1678-4227,NEUROSCIENCES - SCIE(Q4); PSYCHIATRY - SCIE(Q4)
British Journal of Politics & International Relations,1369-1481,2.035,1467-856X,INTERNATIONAL RELATIONS - SSCI(Q2); POLITICAL SCIENCE - SSCI(Q2)
JOURNAL OF HETEROCYCLIC CHEMISTRY,0022-152X,2.035,1943-5193,"CHEMISTRY, ORGANIC - SCIE(Q3)"
JOURNAL OF DOCUMENTATION,0022-0418,2.034,1758-7379,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI(Q3)
CLINICAL BIOMECHANICS,0268-0033,2.034,1879-1271,"ORTHOPEDICS - SCIE(Q3); ENGINEERING, BIOMEDICAL - SCIE(Q4); SPORT SCIENCES - SCIE(Q4)"
Systems Engineering,1098-1241,2.034,1520-6858,"OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE(Q3); ENGINEERING, INDUSTRIAL - SCIE(Q4)"
Journal of Housing and the Built Environment,1566-4910,2.033,1573-7772,ENVIRONMENTAL STUDIES - SSCI(Q4); URBAN STUDIES - SSCI(Q4); REGIONAL & URBAN PLANNING - SSCI(Q4)
Health Promotion Journal of Australia,1036-1073,2.033,2201-1617,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q4)"
TETRAHEDRON LETTERS,0040-4039,2.032,1873-3581,"CHEMISTRY, ORGANIC - SCIE(Q3)"
SAGE Open,2158-2440,2.032,2158-2440,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI(Q2)"
Medical Law Review,0967-0742,2.032,1464-3790,"MEDICINE, LEGAL - SCIE(Q2); LAW - SSCI(Q2)"
CREATIVITY RESEARCH JOURNAL,1040-0419,2.032,1532-6934,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q3); PSYCHOLOGY, EDUCATIONAL - SSCI(Q3)"
Archives of Endocrinology Metabolism,2359-3997,2.032,2359-4292,ENDOCRINOLOGY & METABOLISM - SCIE(Q4)
TRANSPLANT IMMUNOLOGY,0966-3274,2.032,1878-5492,TRANSPLANTATION - SCIE(Q3); IMMUNOLOGY - SCIE(Q4)
JOURNAL OF NUTRITIONAL SCIENCE AND VITAMINOLOGY,0301-4800,2.032,1881-7742,NUTRITION & DIETETICS - SCIE(Q4)
RHEUMATIC DISEASE CLINICS OF NORTH AMERICA,0889-857X,2.032,1558-3163,RHEUMATOLOGY - SCIE(Q4)
Evolutionary Bioinformatics,1176-9343,2.031,1176-9343,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE(Q3); EVOLUTIONARY BIOLOGY - SCIE(Q4)
Foot and Ankle Clinics,1083-7515,2.03,1558-1934,ORTHOPEDICS - SCIE(Q3)
MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING,0923-6082,2.03,1573-0824,"COMPUTER SCIENCE, THEORY & METHODS - SCIE(Q2); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q3)"
Current Issues in Language Planning,1466-4208,2.03,1747-7506,LANGUAGE & LINGUISTICS - AHCI(N/A); LINGUISTICS - SSCI(Q2); EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q3)
LAND ECONOMICS,0023-7639,2.03,1543-8325,ECONOMICS - SSCI(Q3); ENVIRONMENTAL STUDIES - SSCI(Q4)
BMC Surgery,N/A,2.03,1471-2482,SURGERY - SCIE(Q3)
REVISTA ARGENTINA DE MICROBIOLOGIA,0325-7541,2.029,1851-7617,MICROBIOLOGY - SCIE(Q4)
International Journal of Sports Science & Coaching,1747-9541,2.029,2048-397X,"PSYCHOLOGY, APPLIED - SSCI(Q3); HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI(Q4)"
INTERNATIONAL OPHTHALMOLOGY,0165-5701,2.029,1573-2630,OPHTHALMOLOGY - SCIE(Q3)
Journal of Institutional Economics,1744-1374,2.029,1744-1382,ECONOMICS - SSCI(Q3)
